"rank","id","name","sponsor","category","url","amount","deadline","method","status","score","ai_policy","sensitive_tags","eligibility","materials","match_reasons","risks","next_action"
"1","asem-grad","ASEM Undergraduate and Graduate Student Scholarships","American Society for Engineering Management","Engineering Management","https://asem.org/ASEM-Scholarships","$500","2026-07-15","email","verified","100","unknown","","Graduate Engineering Management or related field, ASEM membership, full-time enrollment, 3.5+ graduate GPA, expected graduation in 2027, transcript, essay, and professor recommendation.","Application form, personal essay, transcript, professor recommendation, faculty confirmation of expected graduation.","Direct Engineering Management fit|Graduate GPA clears 3.5|Leadership and service matter|Expected 2027 degree timeline may fit after verification","Requires ASEM membership|Email-only submission|Degree timeline must be reconciled before applying","Verify ASEM membership and expected graduation date, then draft email packet."
"2","sbb-stem","SBB Research Group Foundation STEM Scholarship","SBB Research Group Foundation","STEM","https://www.sbbscholarship.com/","$2,500","quarterly","online","verified","99","restricted","","Full-time student at a U.S. college pursuing a STEM degree with cumulative GPA of 3.5 or higher.","Online application and 500-word STEM impact essay.","Computer science/STEM fit|GPA clears 3.5|Interdisciplinary AI/data story fits essay","AI detection policy; final essay must be user-authored|Quarter deadline must be confirmed in portal","Use robot only for outline and fact organization; Kieron writes final essay in his own words."
"3","uno-engineering","UNO College of Engineering Scholarships","University of New Orleans College of Engineering","UNO/Internal","https://www.uno.edu/academics/coe/scholarships","Varies","departmental","internal","verified","98","unknown","financial_need_possible","UNO College of Engineering undergraduate or graduate students; many awards require 3.0+ GPA, full-time enrollment, leadership, good character, and department/faculty acknowledgement.","Resume, transcript, faculty contact, department scholarship inquiry, FAFSA if applicable.","UNO enrollment likely|Graduate engineering/management fit|Leadership and academic profile fit","Some awards are major-specific|May require faculty nomination or internal process","Contact UNO College of Engineering and department advisor with verified transcript and resume."
"4","uno-grad-awards","UNO Graduate School Awards","University of New Orleans Graduate School","UNO/Internal","https://www.uno.edu/academics/grad/graduate-financing/awards","Varies","departmental","internal","prospect","92","unknown","","UNO graduate applicants and students; awards are often competitive and may be coordinated through graduate departments.","Department inquiry, resume, transcript, statement of purpose, faculty nomination if needed.","Current graduate profile|Internal awards often have fewer applicants|Strong leadership and GPA","Nomination process may be closed|Eligibility depends on current program","Ask Graduate School and department for current 2026-2027 award availability."
"5","nsbe","NSBE Scholarships","National Society of Black Engineers","Black STEM / Professional Society","https://nsbe.org/scholarships/","Varies","cycle opens soon","portal","prospect","90","unknown","race_ethnicity|membership","NSBE collegiate/graduate members; GPA verification required each semester. Spring/Summer GPA verification window runs April 1 to July 31, 2026.","MyNSBE profile, GPA verification, resume, transcript, essays, scholarship-specific materials.","Black engineering/computer science profile may fit after confirmation|Graduate student category exists|GPA and leadership are strong","Requires membership and GPA verification|Sensitive identity confirmation required before applying","Confirm membership/identity preference, submit GPA verification, then check open NSBE portal awards."
"6","gmis","Great Minds in STEM Scholars Program","Great Minds in STEM","STEM / Diversity","https://www.gmis-scholars.org/","Varies","verify_current_cycle","online","prospect","85","unknown","race_ethnicity_possible","STEM students; full details vary by sponsor award and year.","Online profile, resume, transcript, essays, recommendation or sponsor-specific materials.","STEM graduate profile|Leadership/community story|Diversity-oriented sponsor awards may fit after confirmation","Must verify current deadline and sponsor-specific eligibility","Open portal and identify currently open awards for graduate CS/engineering students."
"7","gem","The GEM Fellowship","National GEM Consortium","Graduate STEM Fellowship","https://www.gemfellowship.org/","Fellowship / tuition / stipend varies","annual_fall","online","prospect","83","unknown","race_ethnicity","Underrepresented students pursuing MS or PhD in engineering or computer science; requires internships and GEM employer/university process.","Online application, essays, resume, transcript, recommendations.","MS/CS and engineering management background|Professional experience and leadership|Strong GPA","Sensitive identity confirmation required|Cycle/deadline must be verified|May be more fellowship than one-off scholarship","Verify whether current degree stage and university participation fit."
"8","smart","SMART Scholarship-for-Service","U.S. Department of Defense","Federal STEM Fellowship","https://www.smartscholarship.org/smart","Tuition plus stipend if selected","annual_late_fall","online","prospect","79","unknown","citizenship|service_commitment","STEM students who meet citizenship, academic, and service-commitment requirements.","Online application, essays, transcript, references, service commitment review.","Computer science and engineering management fit|Public service/data background can help|High-value funding","Service obligation|Citizenship and field eligibility must be confirmed|Not a quick application","Review service commitment and eligible fields before drafting."
"9","afcea-stem-major","AFCEA STEM Major Scholarships","AFCEA Educational Foundation","STEM / Cybersecurity","https://www.afcea.org/education/scholarships","Varies","verify_current_cycle","online","prospect","78","unknown","citizenship_possible","STEM students, often including graduate students in cyber, computer science, IT, engineering, or related fields depending on award.","Online application, transcript, resume, essay, recommendations.","CS, IT operations, cyber habits, and public-sector data experience|Graduate GPA and technical work","Award-specific deadlines and citizenship requirements vary","Filter AFCEA portal for graduate CS/cyber awards still open."
"10","tmcf","TMCF Scholarships Portal","Thurgood Marshall College Fund","HBCU / Black Student","https://www.tmcf.org/students-alumni/scholarships/","Varies","varies","portal","prospect","77","unknown","race_ethnicity|hbcu|financial_need_possible","Scholarships for students connected to publicly supported HBCUs and partner institutions; eligibility varies by award.","Portal profile, transcript, resume, essays, FAFSA or financial information if requested.","SUNO/HBCU background|Leadership and GPA|STEM and business-tech profile","Current school eligibility must be checked|Sensitive identity/need confirmation required","Create or review portal profile and filter for graduate/STEM awards."
"11","ieee-merwin","Richard E. Merwin Student Scholarship","IEEE Computer Society","Computer Science","https://www.computer.org/volunteering/awards/scholarships/merwin","$1,000 and up","annual_multiple","online","prospect","76","unknown","membership","Active IEEE Computer Society student members in computer science/engineering or related fields with academic and leadership strength.","Membership, transcript, resume, volunteer/leadership evidence, essays.","Current CS path|Leadership and service story|Technical portfolio","Requires IEEE Computer Society membership|Deadline must be verified","Check current cycle and membership requirements."
"12","uncf","UNCF Scholarships Portal","UNCF","HBCU / Black Student","https://uncf.org/scholarships","Varies","varies","portal","prospect","75","unknown","race_ethnicity|hbcu|financial_need_possible","Many awards support Black students, HBCU students, STEM students, and students with financial need; award-specific rules vary.","Portal profile, transcript, resume, essays, financial need documents if requested.","SUNO/HBCU background|Black student scholarships may fit after confirmation|Strong service and academic record","Must filter for graduate awards|Sensitive identity confirmation required","Search portal for graduate, STEM, New Orleans/Louisiana, and HBCU awards."
"13","last-mile","Last Mile Education Fund","Last Mile Education Fund","Technology / Need","https://www.lastmile-ed.org/","Varies","rolling","online","prospect","74","unknown","financial_need","Students pursuing tech/engineering pathways with financial need or emergency gaps; program types vary.","Online application, enrollment proof, financial gap details, transcript or documentation.","CS/technology pathway|Financial resilience story may fit if user chooses|Rolling-style funding may be faster","Financial details are sensitive|Must avoid storing tax or bank data in app","Confirm current program availability and only enter financial details manually in browser."
"14","southern-foundation","Southern University System Foundation Scholarships","Southern University System Foundation","SUNO / Alumni","https://foundation.sus.edu/","Varies","varies","online","prospect","74","unknown","hbcu|financial_need_possible","Scholarships for Southern University System students; award-specific rules vary.","Foundation application, transcript, resume, essays, enrollment details.","SUNO alumnus profile|Campus leadership history|Academic performance","May prioritize current Southern System students|Current cycle must be found","Search foundation scholarship portal for graduate or alumni continuing-education awards."
"15","aee-foundation","AEE Foundation Scholarship","Association of Energy Engineers Foundation","Energy Management","https://aeefoundation.org/scholarships/","Varies","annual","online","prospect","73","unknown","","Students studying energy engineering, energy management, sustainable studies, or related fields.","Application, transcript, essay, recommendation, resume.","Engineering management plus systems/operations|Portfolio mentions systems engineer energy|Data dashboards and operational efficiency","Energy coursework/career intent must be verified","Verify current deadline and connect career goal to energy/data management."
"16","isa","ISA Educational Foundation Scholarships","International Society of Automation","Automation / Engineering","https://www.isa.org/membership/students/scholarships","Varies","annual","online","prospect","72","unknown","membership_possible","Students in automation, instrumentation, systems, computer science, engineering, or related fields depending on award.","Application, transcript, resume, recommendation, essay.","AI automation and workflow design|Systems engineering and data automation|CS/engineering management overlap","Current deadline and membership/section requirements vary","Verify current cycle and local section eligibility."
"17","new-orleans-film-society","New Orleans Film Society Artist Opportunities","New Orleans Film Society","Film / Local","https://neworleansfilmsociety.org/","Varies","varies","online","prospect","72","unknown","","Local filmmaker opportunities, labs, grants, and festival programs vary by year.","Film links, artist statement, project description, resume/bio.","New Orleans filmmaker|Black NOLA Film Fest context|Public YouTube film work","May be artistic grant rather than tuition scholarship|Program-specific eligibility varies","Search current artist support and student filmmaker opportunities."
"18","aes-engineering","AES Engineering Scholarship","AES Engineering Solutions","General / Engineering","https://www.aesengineers.com/scholarships.php","$500","2026-10-08","email","prospect","71","prohibited","","High school seniors and students attending a post-secondary educational facility; engineering major not required.","500-1000 word essay; include full name, current school, and plans for next year. Do not include resume unless requested.","Open to post-secondary students|Leadership/resilience prompt can fit|Email-only simple application","Official page warns AI-generated applications will not be accepted|2026 deadline comes from scholarship databases; official page may still show prior cycle until updated","Verify 2026 official page, then Kieron writes final essay manually."
